,age,workclass,fnlwgt,education,education_num,martial_status,occupation,RelationShip,race,sex,capital_gain,capital_loss,hours_per_week,native_country,age-binned,fnlwgt-binned,education_num-binned,capital_gain-binned,capital_loss-binned,hours_per_week-binned,education_num_rand,income_class
0,25, Private,226802, 11th,7, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40, United-States,starter_workclass,class1,education4,capital_gain1,capital_loss1,hours4,7.19228188672714, <=50K.
1,38, Private,89814, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States,mid_workclass,class1,education6,capital_gain1,capital_loss1,hours5,9.44392800495245, <=50K.
2,28, Local-gov,336951, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,junior work_class,class2,education8,capital_gain1,capital_loss1,hours4,11.9794934417962, >50K.
3,44, Private,160323, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,7688,0,40, United-States,senior_workclass,class1,education6,capital_gain1,capital_loss1,hours4,10.2091927730353, >50K.
4,18,Private,103497, Some-college,10, Never-married,Prof-specialty, Own-child, White, Female,0,0,30, United-States,starter_workclass,class1,education6,capital_gain1,capital_loss1,hours3,9.51036627180177, <=50K.
5,34, Private,198693, 10th,6, Never-married, Other-service, Not-in-family, White, Male,0,0,30, United-States,mid_workclass,class1,education4,capital_gain1,capital_loss1,hours3,5.80866498628684, <=50K.
6,29,Private,227026, HS-grad,9, Never-married,Prof-specialty, Unmarried, Black, Male,0,0,40, United-States,junior work_class,class1,education6,capital_gain1,capital_loss1,hours4,9.01536134465581, <=50K.
7,63, Self-emp-not-inc,104626, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,3103,0,32, United-States,diminishing_workclass,class1,education10,capital_gain1,capital_loss1,hours4,15.3505825259398, >50K.
8,24, Private,369667, Some-college,10, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States,starter_workclass,class2,education6,capital_gain1,capital_loss1,hours4,10.4379116706441, <=50K.
9,55, Private,104996, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,10, United-States,Advanced_workclass,class1,education2,capital_gain1,capital_loss1,hours1,4.48452884582572, <=50K.
10,65, Private,184454, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,6418,0,40, United-States,diminishing_workclass,class1,education6,capital_gain1,capital_loss1,hours4,9.1084829846771, >50K.
11,36, Federal-gov,212465, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,mid_workclass,class1,education8,capital_gain1,capital_loss1,hours4,13.2613466772335, <=50K.
12,26, Private,82091, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,39, United-States,junior work_class,class1,education6,capital_gain1,capital_loss1,hours4,9.03492719972838, <=50K.
