,age,workclass,fnlwgt,education,education_num,martial_status,occupation,RelationShip,race,sex,capital_gain,capital_loss,hours_per_week,native_country,age-binned,fnlwgt-binned,education_num-binned,capital_gain-binned,capital_loss-binned,hours_per_week-binned,education_num_rand,income_class
0,25, Private,226802, 11th,7, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40, United-States,starter_workclass,class1,education4,capital_gain1,capital_loss1,hours4,7.27104297248421, <=50K.
1,38, Private,89814, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States,mid_workclass,class1,education6,capital_gain1,capital_loss1,hours5,8.94081410617887, <=50K.
2,28, Local-gov,336951, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,junior work_class,class2,education8,capital_gain1,capital_loss1,hours4,11.6493047478076, >50K.
3,44, Private,160323, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,7688,0,40, United-States,senior_workclass,class1,education6,capital_gain1,capital_loss1,hours4,10.0894478073744, >50K.
4,18,Private,103497, Some-college,10, Never-married,Prof-specialty, Own-child, White, Female,0,0,30, United-States,starter_workclass,class1,education6,capital_gain1,capital_loss1,hours3,9.62019308621777, <=50K.
5,34, Private,198693, 10th,6, Never-married, Other-service, Not-in-family, White, Male,0,0,30, United-States,mid_workclass,class1,education4,capital_gain1,capital_loss1,hours3,5.94888202570216, <=50K.
6,29,Private,227026, HS-grad,9, Never-married,Prof-specialty, Unmarried, Black, Male,0,0,40, United-States,junior work_class,class1,education6,capital_gain1,capital_loss1,hours4,8.68017986186718, <=50K.
7,63, Self-emp-not-inc,104626, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,3103,0,32, United-States,diminishing_workclass,class1,education10,capital_gain1,capital_loss1,hours4,14.7480034176095, >50K.
8,24, Private,369667, Some-college,10, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States,starter_workclass,class2,education6,capital_gain1,capital_loss1,hours4,9.82240577662283, <=50K.
9,55, Private,104996, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,10, United-States,Advanced_workclass,class1,education2,capital_gain1,capital_loss1,hours1,3.94113403803516, <=50K.
10,65, Private,184454, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,6418,0,40, United-States,diminishing_workclass,class1,education6,capital_gain1,capital_loss1,hours4,8.53987357649086, >50K.
11,36, Federal-gov,212465, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,mid_workclass,class1,education8,capital_gain1,capital_loss1,hours4,13.2509480052682, <=50K.
12,26, Private,82091, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,39, United-States,junior work_class,class1,education6,capital_gain1,capital_loss1,hours4,8.62289539707009, <=50K.
13,58,Private,299831, HS-grad,9, Married-civ-spouse,Prof-specialty, Husband, White, Male,0,0,35, United-States,diminishing_workclass,class1,education6,capital_gain1,capital_loss1,hours4,9.29948938494083, <=50K.
14,48, Private,279724, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3103,0,48, United-States,senior_workclass,class1,education6,capital_gain1,capital_loss1,hours5,8.81659522481266, >50K.
15,43, Private,346189, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,senior_workclass,class2,education9,capital_gain1,capital_loss1,hours5,14.3355483155349, >50K.
16,20, State-gov,444554, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States,starter_workclass,class2,education6,capital_gain1,capital_loss1,hours3,9.53840956952906, <=50K.
17,43, Private,128354, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,30, United-States,senior_workclass,class1,education6,capital_gain1,capital_loss1,hours3,9.46498464110886, <=50K.
18,37, Private,60548, HS-grad,9, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,20, United-States,mid_workclass,class1,education6,capital_gain1,capital_loss1,hours2,8.91254772423901, <=50K.
19,40, Private,85019, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45,United-States,mid_workclass,class1,education10,capital_gain1,capital_loss1,hours5,15.8716106914131, >50K.
20,34, Private,107914, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,47, United-States,mid_workclass,class1,education8,capital_gain1,capital_loss1,hours5,12.8213399396697, >50K.
21,34, Private,238588, Some-college,10, Never-married, Other-service, Own-child, Black, Female,0,0,35, United-States,mid_workclass,class1,education6,capital_gain1,capital_loss1,hours4,9.72832377462485, <=50K.
22,72,Private,132015, 7th-8th,4, Divorced,Prof-specialty, Not-in-family, White, Female,0,0,6, United-States,junior_retired,class1,education2,capital_gain1,capital_loss1,hours1,3.8543812866326, <=50K.
23,25, Private,220931, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, Peru,starter_workclass,class1,education8,capital_gain1,capital_loss1,hours5,12.5837365173626, <=50K.
24,25, Private,205947, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,starter_workclass,class1,education8,capital_gain1,capital_loss1,hours4,13.4148648698672, <=50K.
25,45, Self-emp-not-inc,432824, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,90, United-States,senior_workclass,class2,education6,capital_gain1,capital_loss1,hours10,9.43205952311755, >50K.
26,22, Private,236427, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States,starter_workclass,class1,education6,capital_gain1,capital_loss1,hours2,8.97880216326101, <=50K.
27,23, Private,134446, HS-grad,9, Separated, Machine-op-inspct, Unmarried, Black, Male,0,0,54, United-States,starter_workclass,class1,education6,capital_gain1,capital_loss1,hours6,9.23617289645987, <=50K.
28,54, Private,99516, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States,Advanced_workclass,class1,education6,capital_gain1,capital_loss1,hours4,8.83118626222562, <=50K.
29,32, Self-emp-not-inc,109282, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States,junior work_class,class1,education6,capital_gain1,capital_loss1,hours7,10.3855486196733, <=50K.
30,46, State-gov,106444, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7688,0,38, United-States,senior_workclass,class1,education6,capital_gain1,capital_loss1,hours4,10.2865242585497, >50K.
31,56, Self-emp-not-inc,186651, 11th,7, Widowed, Other-service, Unmarried, White, Female,0,0,50, United-States,Advanced_workclass,class1,education4,capital_gain1,capital_loss1,hours5,6.60307302735991, <=50K.
32,24, Self-emp-not-inc,188274, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States,starter_workclass,class1,education8,capital_gain1,capital_loss1,hours5,12.7503554596309, <=50K.
33,23, Local-gov,258120, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,starter_workclass,class1,education6,capital_gain1,capital_loss1,hours4,9.98574405293771, <=50K.
34,26, Private,43311, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,junior work_class,class1,education6,capital_gain1,capital_loss1,hours4,9.36153001124843, <=50K.
35,65,Private,191846, HS-grad,9, Married-civ-spouse,Prof-specialty, Husband, White, Male,0,0,40, United-States,diminishing_workclass,class1,education6,capital_gain1,capital_loss1,hours4,9.15854772817656, <=50K.
36,36, Local-gov,403681, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,mid_workclass,class2,education8,capital_gain1,capital_loss1,hours4,12.5390315954051, >50K.
37,22, Private,248446, 5th-6th,3, Never-married, Priv-house-serv, Not-in-family, White, Male,0,0,50, Guatemala,starter_workclass,class1,education2,capital_gain1,capital_loss1,hours5,2.61675642089567, <=50K.
38,17, Private,269430, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,starter_workclass,class1,education4,capital_gain1,capital_loss1,hours4,5.92910111026167, <=50K.
39,20, Private,257509, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,starter_workclass,class1,education6,capital_gain1,capital_loss1,hours4,9.0017181193177, <=50K.
40,65, Private,136384, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,diminishing_workclass,class1,education9,capital_gain1,capital_loss1,hours5,14.3195221782656, >50K.
41,44, Self-emp-inc,120277, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States,senior_workclass,class1,education7,capital_gain1,capital_loss1,hours5,11.4441956363242, >50K.
42,36, Private,465326, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,mid_workclass,class2,education6,capital_gain1,capital_loss1,hours4,8.82524942730345, <=50K.
43,29, Private,103634, 11th,7, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,junior work_class,class1,education4,capital_gain1,capital_loss1,hours4,7.09725067158829, <=50K.
44,20, State-gov,138371, Some-college,10, Never-married, Farming-fishing, Own-child, White, Male,0,0,32, United-States,starter_workclass,class1,education6,capital_gain1,capital_loss1,hours4,10.2010112275197, <=50K.
45,28, Private,242832, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,36, United-States,junior work_class,class1,education7,capital_gain1,capital_loss1,hours4,10.8706214435976, >50K.
46,39, Private,290208, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico,mid_workclass,class1,education2,capital_gain1,capital_loss1,hours4,4.47509936166145, <=50K.
47,54, Private,186272, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,3908,0,50, United-States,Advanced_workclass,class1,education6,capital_gain1,capital_loss1,hours5,10.1096201623698, <=50K.
48,52, Private,201062, 11th,7, Separated, Priv-house-serv, Not-in-family, Black, Female,0,0,18, United-States,Advanced_workclass,class1,education4,capital_gain1,capital_loss1,hours2,6.55462380109346, <=50K.
49,56, Self-emp-inc,131916, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States,Advanced_workclass,class1,education6,capital_gain1,capital_loss1,hours5,9.05668027228857, <=50K.
50,18, Private,54440, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States,starter_workclass,class1,education6,capital_gain1,capital_loss1,hours2,9.81090945342735, <=50K.
51,39, Private,280215, HS-grad,9, Divorced, Handlers-cleaners, Own-child, Black, Male,0,0,40, United-States,mid_workclass,class1,education6,capital_gain1,capital_loss1,hours4,8.81679513936649, <=50K.
52,21, Private,214399, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,1721,24, United-States,starter_workclass,class1,education6,capital_gain1,capital_loss5,hours3,9.55713815743115, <=50K.
