,age,workclass,fnlwgt,education,education_num,martial_status,occupation,RelationShip,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_class,age-binned,fnlwgt-binned,education_num-binned,capital_gain-binned,capital_loss-binned,hours_per_week-binned
0,38, Private,89814, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K.,mid_workclass,class1,education6,capital_gain1,capital_loss1,hours5
1,28, Local-gov,336951, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K.,junior work_class,class2,education8,capital_gain1,capital_loss1,hours4
2,44, Private,160323, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,7688,0,40, United-States, >50K.,senior_workclass,class1,education6,capital_gain1,capital_loss1,hours4
3,18,Private,103497, Some-college,10, Never-married,Prof-specialty, Own-child, White, Female,0,0,30, United-States, <=50K.,starter_workclass,class1,education6,capital_gain1,capital_loss1,hours3
4,34, Private,198693, 10th,6, Never-married, Other-service, Not-in-family, White, Male,0,0,30, United-States, <=50K.,mid_workclass,class1,education4,capital_gain1,capital_loss1,hours3
5,29,Private,227026, HS-grad,9, Never-married,Prof-specialty, Unmarried, Black, Male,0,0,40, United-States, <=50K.,junior work_class,class1,education6,capital_gain1,capital_loss1,hours4
6,63, Self-emp-not-inc,104626, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,3103,0,32, United-States, >50K.,diminishing_workclass,class1,education10,capital_gain1,capital_loss1,hours4
7,24, Private,369667, Some-college,10, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K.,starter_workclass,class2,education6,capital_gain1,capital_loss1,hours4
8,55, Private,104996, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,10, United-States, <=50K.,Advanced_workclass,class1,education2,capital_gain1,capital_loss1,hours1
9,65, Private,184454, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,6418,0,40, United-States, >50K.,diminishing_workclass,class1,education6,capital_gain1,capital_loss1,hours4
10,36, Federal-gov,212465, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K.,mid_workclass,class1,education8,capital_gain1,capital_loss1,hours4
11,26, Private,82091, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,39, United-States, <=50K.,junior work_class,class1,education6,capital_gain1,capital_loss1,hours4
